Carnet,DPI,Nombre,Carrera,Password,Creditos,Edad,Correo
202000033,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000304,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000035,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000036,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000037,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000038,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000039,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000040,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000041,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000042,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200043,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000044,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000045,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000046,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000047,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000408,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200049,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200050,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000051,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000052,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000053,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000054,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000505,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000560,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200057,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200058,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000059,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000060,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000061,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000062,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000603,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200064,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200065,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000066,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000067,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000068,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000069,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000700,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000710,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200072,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200073,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000074,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000075,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000076,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000077,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000708,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000790,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200080,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000081,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000082,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000083,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000084,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000805,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
200200086,8549191766348,Manuel Manzanares,Ingeniera Elctrica,rejumudore,226,24,benitoarmas92@gmail.com
202000087,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000088,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000089,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000090,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000091,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000092,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000093,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000904,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000950,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000096,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000097,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000908,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000099,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
202000100,7382344774121,Lola Delapaz,Ingeniera Qumica,hujocikimi,45,19,adriana56@gmail.com
